K,Accuracy,ErrorRate
1,4.163337433709052,35.714285714285715
2,4.142928562077845,37.01298701298701
3,4.212608482715835,32.467532467532465
4,4.231656677686529,31.16883116883117
5,4.321807774680827,24.675324675324674
6,4.338902208040127,23.376623376623375
7,4.295605402286803,26.623376623376622
8,4.3131497119377125,25.324675324675322
9,4.259565465803606,29.22077922077922
10,4.268697949366879,28.57142857142857
11,4.277747784886796,27.92207792207792
12,4.295605402286803,26.623376623376622
13,4.286716454869556,27.27272727272727
14,4.295605402286803,26.623376623376622
15,4.295605402286803,26.623376623376622
16,4.277747784886796,27.92207792207792
17,4.259565465803606,29.22077922077922
18,4.277747784886796,27.92207792207792
19,4.330391518372219,24.025974025974026
20,4.321807774680827,24.675324675324674
21,4.3131497119377125,25.324675324675322
22,4.286716454869556,27.27272727272727
23,4.295605402286803,26.623376623376622
24,4.304416031968958,25.97402597402597
25,4.304416031968958,25.97402597402597
26,4.286716454869556,27.27272727272727
27,4.286716454869556,27.27272727272727
28,4.277747784886796,27.92207792207792
29,4.268697949366879,28.57142857142857
30,4.304416031968958,25.97402597402597
31,4.259565465803606,29.22077922077922
32,4.286716454869556,27.27272727272727
33,4.268697949366879,28.57142857142857
34,4.277747784886796,27.92207792207792
35,4.259565465803606,29.22077922077922
36,4.250348810698682,29.87012987012987
37,4.250348810698682,29.87012987012987
38,4.250348810698682,29.87012987012987
39,4.250348810698682,29.87012987012987
40,4.286716454869556,27.27272727272727
41,4.259565465803606,29.22077922077922
42,4.304416031968958,25.97402597402597
43,4.241046418036368,30.519480519480517
44,4.268697949366879,28.57142857142857
45,4.259565465803606,29.22077922077922
46,4.268697949366879,28.57142857142857
47,4.259565465803606,29.22077922077922
48,4.295605402286803,26.623376623376622
49,4.295605402286803,26.623376623376622
50,4.286716454869556,27.27272727272727
51,4.286716454869556,27.27272727272727
52,4.286716454869556,27.27272727272727
53,4.277747784886796,27.92207792207792
54,4.286716454869556,27.27272727272727
55,4.268697949366879,28.57142857142857
56,4.286716454869556,27.27272727272727
57,4.277747784886796,27.92207792207792
58,4.286716454869556,27.27272727272727
59,4.304416031968958,25.97402597402597
60,4.3131497119377125,25.324675324675322
61,4.295605402286803,26.623376623376622
62,4.295605402286803,26.623376623376622
63,4.286716454869556,27.27272727272727
64,4.304416031968958,25.97402597402597
65,4.277747784886796,27.92207792207792
66,4.304416031968958,25.97402597402597
67,4.295605402286803,26.623376623376622
68,4.277747784886796,27.92207792207792
69,4.268697949366879,28.57142857142857
70,4.268697949366879,28.57142857142857
71,4.286716454869556,27.27272727272727
72,4.295605402286803,26.623376623376622
73,4.295605402286803,26.623376623376622
74,4.277747784886796,27.92207792207792
75,4.286716454869556,27.27272727272727
76,4.277747784886796,27.92207792207792
77,4.250348810698682,29.87012987012987
78,4.268697949366879,28.57142857142857
79,4.250348810698682,29.87012987012987
80,4.259565465803606,29.22077922077922
81,4.241046418036368,30.519480519480517
82,4.268697949366879,28.57142857142857
83,4.250348810698682,29.87012987012987
84,4.277747784886796,27.92207792207792
85,4.241046418036368,30.519480519480517
86,4.268697949366879,28.57142857142857
87,4.250348810698682,29.87012987012987
88,4.277747784886796,27.92207792207792
89,4.250348810698682,29.87012987012987
90,4.277747784886796,27.92207792207792
91,4.259565465803606,29.22077922077922
92,4.277747784886796,27.92207792207792
93,4.277747784886796,27.92207792207792
94,4.295605402286803,26.623376623376622
95,4.277747784886796,27.92207792207792
96,4.286716454869556,27.27272727272727
97,4.286716454869556,27.27272727272727
98,4.277747784886796,27.92207792207792
99,4.268697949366879,28.57142857142857
100,4.268697949366879,28.57142857142857
101,4.277747784886796,27.92207792207792
102,4.277747784886796,27.92207792207792
103,4.277747784886796,27.92207792207792
104,4.286716454869556,27.27272727272727
105,4.268697949366879,28.57142857142857
106,4.277747784886796,27.92207792207792
107,4.268697949366879,28.57142857142857
