K,Accuracy,ErrorRate
1,72.07792208,27.92207792
2,70.77922078,29.22077922
3,78.57142857,21.42857143
4,77.27272727,22.72727273
5,76.62337662,23.37662338
6,73.37662338,26.62337662
7,74.02597403,25.97402597
8,75.32467532,24.67532468
9,71.42857143,28.57142857
10,72.07792208,27.92207792
11,71.42857143,28.57142857
12,74.02597403,25.97402597
13,73.37662338,26.62337662
14,72.72727273,27.27272727
15,75.97402597,24.02597403
16,75.97402597,24.02597403
17,75.97402597,24.02597403
18,75.32467532,24.67532468
19,76.62337662,23.37662338
20,78.57142857,21.42857143
21,75.97402597,24.02597403
22,77.92207792,22.07792208
23,76.62337662,23.37662338
24,78.57142857,21.42857143
25,75.97402597,24.02597403
26,77.27272727,22.72727273
27,76.62337662,23.37662338
28,75.32467532,24.67532468
29,77.27272727,22.72727273
30,77.27272727,22.72727273
31,75.32467532,24.67532468
32,76.62337662,23.37662338
33,74.67532468,25.32467532
34,75.32467532,24.67532468
35,76.62337662,23.37662338
36,77.92207792,22.07792208
37,77.92207792,22.07792208
38,77.27272727,22.72727273
39,77.27272727,22.72727273
40,78.57142857,21.42857143
41,78.57142857,21.42857143
42,78.57142857,21.42857143
43,77.27272727,22.72727273
44,77.92207792,22.07792208
45,77.27272727,22.72727273
46,77.92207792,22.07792208
47,76.62337662,23.37662338
48,77.27272727,22.72727273
49,76.62337662,23.37662338
50,77.27272727,22.72727273
51,75.32467532,24.67532468
52,75.97402597,24.02597403
53,76.62337662,23.37662338
54,75.32467532,24.67532468
55,74.02597403,25.97402597
56,75.32467532,24.67532468
57,75.32467532,24.67532468
58,75.97402597,24.02597403
59,72.72727273,27.27272727
60,74.02597403,25.97402597
61,74.02597403,25.97402597
62,73.37662338,26.62337662
63,74.67532468,25.32467532
64,76.62337662,23.37662338
65,76.62337662,23.37662338
66,76.62337662,23.37662338
67,76.62337662,23.37662338
68,76.62337662,23.37662338
69,75.97402597,24.02597403
70,75.97402597,24.02597403
71,77.92207792,22.07792208
72,76.62337662,23.37662338
73,77.92207792,22.07792208
74,75.97402597,24.02597403
75,77.27272727,22.72727273
76,75.32467532,24.67532468
77,75.97402597,24.02597403
78,75.97402597,24.02597403
79,76.62337662,23.37662338
80,76.62337662,23.37662338
81,75.32467532,24.67532468
82,77.92207792,22.07792208
83,75.97402597,24.02597403
84,76.62337662,23.37662338
85,75.32467532,24.67532468
86,75.97402597,24.02597403
87,75.97402597,24.02597403
88,75.97402597,24.02597403
89,75.97402597,24.02597403
90,76.62337662,23.37662338
91,75.97402597,24.02597403
92,75.97402597,24.02597403
93,76.62337662,23.37662338
94,75.97402597,24.02597403
95,76.62337662,23.37662338
96,75.32467532,24.67532468
97,75.97402597,24.02597403
98,76.62337662,23.37662338
99,76.62337662,23.37662338
100,76.62337662,23.37662338
